id,userId,type,finishDate,createTime
12,608552568,1,2025-3-5,1741169028
26,608552568,3,2025-3-5,1741217121
27,608552568,2,2025-3-5,1741217828
4948,608554111,1,2025-4-9,1744166308
7,608554150,1,2025-3-5,1741164324
116,608554150,2,2025-3-7,1741337333
50,608555176,1,2025-3-6,1741256488
203,608560012,1,2025-3-7,1741385904
608,608563588,1,2025-3-10,1741617164
60,608564427,1,2025-3-6,1741288308
1115,608565737,1,2025-3-14,1741911311
6134,608567224,1,2025-4-17,1744869419
368,608570671,1,2025-3-9,1741480258
369,608570671,3,2025-3-9,1741480272
944,608573004,1,2025-3-12,1741810588
1590,608576580,1,2025-3-17,1742189959
20,608577314,2,2025-3-5,1741193239
2921,608579373,2,2025-3-26,1742971970
4379,608579373,1,2025-4-5,1743830933
359,608580010,2,2025-3-8,1741476551
361,608580010,1,2025-3-8,1741476772
1073,608580010,3,2025-3-13,1741887109
432,608581930,1,2025-3-9,1741517357
3843,608585124,1,2025-4-1,1743513719
2932,608587155,1,2025-3-26,1742977770
2504,608587535,2,2025-3-23,1742726843
1398,608594696,1,2025-3-15,1742075819
1149,608596025,1,2025-3-14,1741931410
62,608603033,1,2025-3-6,1741293156
4830,608607209,1,2025-4-8,1744096405
4134,608612158,2,2025-4-3,1743686933
4142,608612158,3,2025-4-3,1743690960
56,608612323,1,2025-3-6,1741278010
57,608612323,3,2025-3-6,1741278048
765,608612323,2,2025-3-11,1741706872
271,608612506,1,2025-3-8,1741425278
273,608612506,3,2025-3-8,1741425813
486,608612506,2,2025-3-9,1741547788
474,608619532,2,2025-3-9,1741541237
4243,608624170,2,2025-4-4,1743750797
2923,608627247,1,2025-3-26,1742972742
3549,608627755,2,2025-3-30,1743344112
198,608631470,1,2025-3-7,1741384142
5156,608631470,2,2025-4-10,1744288792
5423,608634723,1,2025-4-12,1744446129
1872,608637924,2,2025-3-19,1742354981
1305,608640926,2,2025-3-15,1742022310
1415,608644523,1,2025-3-16,1742085268
1318,608649310,1,2025-3-15,1742029592
705,608652791,1,2025-3-11,1741672398
707,608652791,2,2025-3-11,1741673449
3642,608659557,1,2025-3-31,1743396755
59,608662444,1,2025-3-6,1741284773
52,608663986,1,2025-3-6,1741273175
53,608663986,2,2025-3-6,1741274063
54,608663986,3,2025-3-6,1741275225
5977,608664054,1,2025-4-16,1744776349
2002,608664829,1,2025-3-20,1742430547
701,608665281,1,2025-3-11,1741670675
2643,608667174,1,2025-3-24,1742808316
2054,608672023,2,2025-3-20,1742460228
2611,608672023,1,2025-3-24,1742789480
48,608674278,1,2025-3-6,1741253274
131,608674757,1,2025-3-7,1741345464
2712,608674757,2,2025-3-24,1742849065
2713,608674757,2,2025-3-24,1742849091
5999,608681342,1,2025-4-16,1744788820
1688,608683851,2,2025-3-17,1742245777
1884,608683851,1,2025-3-19,1742361336
4030,608684804,1,2025-4-2,1743625256
146,608686950,2,2025-3-7,1741353926
600,608686950,1,2025-3-10,1741613354
932,608686950,3,2025-3-12,1741803965
2195,608686975,1,2025-3-21,1742543485
2149,608688039,2,2025-3-21,1742516720
3597,608688039,1,2025-3-30,1743371184
2329,608689053,1,2025-3-22,1742623770
1680,608690283,2,2025-3-17,1742241308
1995,608690283,1,2025-3-19,1742426803
1152,608691005,1,2025-3-14,1741932524
1604,608692242,1,2025-3-17,1742197285
4681,608692310,1,2025-4-7,1744008933
6143,608700909,1,2025-4-17,1744874163
5365,608701066,1,2025-4-11,1744412004
55,608704552,2,2025-3-6,1741276145
104,608704552,1,2025-3-7,1741331318
599,608704552,3,2025-3-10,1741612901
1090,608712616,1,2025-3-13,1741897089
3804,608714187,2,2025-4-1,1743490944
2047,608716014,1,2025-3-20,1742456646
3208,608716014,3,2025-3-28,1743142348
3362,608716014,2,2025-3-29,1743233484
88,608717460,2,2025-3-7,1741326549
91,608717460,1,2025-3-7,1741327143
92,608717460,3,2025-3-7,1741327160
5195,608717772,2,2025-4-10,1744311159
1326,608719467,1,2025-3-15,1742033931
4972,608719467,2,2025-4-9,1744179892
211,608722987,1,2025-3-7,1741389690
400,608724888,1,2025-3-9,1741498495
4692,608724888,2,2025-4-7,1744014228
4115,608737844,1,2025-4-3,1743675824
1942,608740421,2,2025-3-19,1742395320
2526,608748557,2,2025-3-23,1742739434
5657,608753559,1,2025-4-14,1744585377
90,608753601,1,2025-3-7,1741326675
1211,608756716,3,2025-3-14,1741966823
4532,608782191,1,2025-4-6,1743921159
4534,608782191,2,2025-4-6,1743921907
551,608800583,1,2025-3-10,1741585730
862,608840360,1,2025-3-12,1741762845
4456,608853934,1,2025-4-5,1743876642
2856,608858765,2,2025-3-25,1742933700
1749,608885410,1,2025-3-18,1742281339
562,608890184,1,2025-3-10,1741591482
3634,608906505,1,2025-3-31,1743392770
803,608943159,1,2025-3-11,1741728768
656,608944885,1,2025-3-10,1741644138
24,608950131,1,2025-3-5,1741214758
30,608950310,1,2025-3-6,1741243864
8,608950392,3,2025-3-5,1741166677
23,608950392,1,2025-3-5,1741212379
28,608950392,2,2025-3-5,1741219099
15,608950512,1,2025-3-5,1741184456
3,608950717,1,2025-3-5,1741159132
5,608950717,2,2025-3-5,1741160494
49,608950717,3,2025-3-6,1741254756
1,608950802,1,2025-3-5,1741151525
2,608950903,1,2025-3-5,1741156947
115,608950903,2,2025-3-7,1741337164
4,608950972,1,2025-3-5,1741160185
6,608950972,2,2025-3-5,1741161270
